trip_id,arrival_time,departure_time,stop_id,stop_sequence
1_0_2,07:25:00,07:25:00,SH0008,7
1_0_2,07:28:00,07:28:00,SH0077,8
1_0_2,07:31:00,07:31:00,SH0078,9
1_0_2,07:32:00,07:32:00,SH0083,10
1_0_2,07:38:00,07:38:00,SH0079,11
1_0_2,07:41:00,07:41:00,SH0126,12
1_0_2,07:44:00,07:44:00,SH0128,13
1_0_2,07:48:00,07:48:00,SH0132,14
1_0_2,07:49:00,07:49:00,SH0130,15
1_0_3,07:30:00,07:30:00,SH0167,0
1_0_3,07:31:00,07:31:00,SH0465,1
1_0_3,07:32:00,07:32:00,SH0380,2
1_0_3,07:34:00,07:34:00,SH0360,3
1_0_3,07:37:00,07:37:00,SH0065,4
1_0_3,07:45:00,07:45:00,SH0425,5
1_0_3,07:53:00,07:53:00,SH0073,6
1_0_3,07:55:00,07:55:00,SH0008,7
1_0_3,07:58:00,07:58:00,SH0077,8
1_0_3,08:01:00,08:01:00,SH0078,9
1_0_3,08:02:00,08:02:00,SH0083,10
1_0_3,08:08:00,08:08:00,SH0079,11
1_0_3,08:11:00,08:11:00,SH0126,12
1_0_3,08:14:00,08:14:00,SH0128,13
1_0_3,08:18:00,08:18:00,SH0132,14
1_0_3,08:19:00,08:19:00,SH0130,15
1_0_4,08:00:00,08:00:00,SH0167,0
1_0_4,08:01:00,08:01:00,SH0465,1
1_0_4,08:02:00,08:02:00,SH0380,2
1_0_4,08:04:00,08:04:00,SH0360,3
1_0_4,08:07:00,08:07:00,SH0065,4
1_0_4,08:15:00,08:15:00,SH0425,5
1_0_4,08:23:00,08:23:00,SH0073,6
1_0_4,08:25:00,08:25:00,SH0008,7
1_0_4,08:28:00,08:28:00,SH0077,8
1_0_4,08:31:00,08:31:00,SH0078,9
1_0_4,08:32:00,08:32:00,SH0083,10
1_0_4,08:38:00,08:38:00,SH0079,11
1_0_4,08:41:00,08:41:00,SH0126,12
1_0_4,08:44:00,08:44:00,SH0128,13
1_0_4,08:48:00,08:48:00,SH0132,14
1_0_4,08:49:00,08:49:00,SH0130,15
1_0_5,08:30:00,08:30:00,SH0167,0
1_0_5,08:31:00,08:31:00,SH0465,1
1_0_5,08:32:00,08:32:00,SH0380,2
1_0_5,08:34:00,08:34:00,SH0360,3
1_0_5,08:37:00,08:37:00,SH0065,4
1_0_5,08:45:00,08:45:00,SH0425,5
1_0_5,08:53:00,08:53:00,SH0073,6
1_0_5,08:55:00,08:55:00,SH0008,7
1_0_5,08:58:00,08:58:00,SH0077,8
1_0_5,09:01:00,09:01:00,SH0078,9
1_0_5,09:02:00,09:02:00,SH0083,10
1_0_5,09:08:00,09:08:00,SH0079,11
1_0_5,09:11:00,09:11:00,SH0126,12
1_0_5,09:14:00,09:14:00,SH0128,13
1_0_5,09:18:00,09:18:00,SH0132,14
1_0_5,09:19:00,09:19:00,SH0130,15
1_0_6,09:00:00,09:00:00,SH0167,0
1_0_6,09:01:00,09:01:00,SH0465,1
1_0_6,09:02:00,09:02:00,SH0380,2
1_0_6,09:04:00,09:04:00,SH0360,3
1_0_6,09:07:00,09:07:00,SH0065,4
1_0_6,09:15:00,09:15:00,SH0425,5
1_0_6,09:23:00,09:23:00,SH0073,6
1_0_6,09:25:00,09:25:00,SH0008,7
1_0_6,09:28:00,09:28:00,SH0077,8
1_0_6,09:31:00,09:31:00,SH0078,9
1_0_6,09:32:00,09:32:00,SH0083,10
1_0_6,09:38:00,09:38:00,SH0079,11
1_0_6,09:41:00,09:41:00,SH0126,12
1_0_6,09:44:00,09:44:00,SH0128,13
1_0_6,09:48:00,09:48:00,SH0132,14
1_0_6,09:49:00,09:49:00,SH0130,15
1_0_7,10:00:00,10:00:00,SH0167,0
1_0_7,10:01:00,10:01:00,SH0465,1
1_0_7,10:02:00,10:02:00,SH0380,2
1_0_7,10:04:00,10:04:00,SH0360,3
1_0_7,10:07:00,10:07:00,SH0065,4
1_0_7,10:15:00,10:15:00,SH0425,5
1_0_7,10:23:00,10:23:00,SH0073,6
1_0_7,10:25:00,10:25:00,SH0008,7
1_0_7,10:28:00,10:28:00,SH0077,8
1_0_7,10:31:00,10:31:00,SH0078,9
1_0_7,10:32:00,10:32:00,SH0083,10
1_0_7,10:38:00,10:38:00,SH0079,11
1_0_7,10:41:00,10:41:00,SH0126,12
1_0_7,10:44:00,10:44:00,SH0128,13
1_0_7,10:48:00,10:48:00,SH0132,14
1_0_7,10:49:00,10:49:00,SH0130,15
1_0_8,11:00:00,11:00:00,SH0167,0
1_0_8,11:01:00,11:01:00,SH0465,1
1_0_8,11:02:00,11:02:00,SH0380,2
1_0_8,11:04:00,11:04:00,SH0360,3
1_0_8,11:07:00,11:07:00,SH0065,4
1_0_8,11:15:00,11:15:00,SH0425,5
1_0_8,11:23:00,11:23:00,SH0073,6
1_0_8,11:25:00,11:25:00,SH0008,7
1_0_8,11:28:00,11:28:00,SH0077,8
1_0_8,11:31:00,11:31:00,SH0078,9
1_0_8,11:32:00,11:32:00,SH0083,10
1_0_8,11:38:00,11:38:00,SH0079,11
1_0_8,11:41:00,11:41:00,SH0126,12
1_0_8,11:44:00,11:44:00,SH0128,13
1_0_8,11:48:00,11:48:00,SH0132,14
1_0_8,11:49:00,11:49:00,SH0130,15
1_0_9,12:00:00,12:00:00,SH0167,0
1_0_9,12:01:00,12:01:00,SH0465,1
1_0_9,12:02:00,12:02:00,SH0380,2
1_0_9,12:04:00,12:04:00,SH0360,3
1_0_9,12:07:00,12:07:00,SH0065,4
1_0_9,12:15:00,12:15:00,SH0425,5
1_0_9,12:23:00,12:23:00,SH0073,6
1_0_9,12:25:00,12:25:00,SH0008,7
1_0_9,12:28:00,12:28:00,SH0077,8
1_0_9,12:31:00,12:31:00,SH0078,9
1_0_9,12:32:00,12:32:00,SH0083,10
1_0_9,12:38:00,12:38:00,SH0079,11
1_0_9,12:41:00,12:41:00,SH0126,12
1_0_9,12:44:00,12:44:00,SH0128,13
1_0_9,12:48:00,12:48:00,SH0132,14
1_0_9,12:49:00,12:49:00,SH0130,15
1_0_10,13:00:00,13:00:00,SH0167,0
1_0_10,13:01:00,13:01:00,SH0465,1
1_0_10,13:02:00,13:02:00,SH0380,2
1_0_10,13:04:00,13:04:00,SH0360,3
1_0_10,13:07:00,13:07:00,SH0065,4
1_0_10,13:15:00,13:15:00,SH0425,5
1_0_10,13:23:00,13:23:00,SH0073,6
1_0_10,13:25:00,13:25:00,SH0008,7
1_0_10,13:28:00,13:28:00,SH0077,8
1_0_10,13:31:00,13:31:00,SH0078,9
1_0_10,13:32:00,13:32:00,SH0083,10
1_0_10,13:38:00,13:38:00,SH0079,11
1_0_10,13:41:00,13:41:00,SH0126,12
1_0_10,13:44:00,13:44:00,SH0128,13
1_0_10,13:48:00,13:48:00,SH0132,14
1_0_10,13:49:00,13:49:00,SH0130,15
1_0_11,14:00:00,14:00:00,SH0167,0
1_0_11,14:01:00,14:01:00,SH0465,1
1_0_11,14:02:00,14:02:00,SH0380,2
1_0_11,14:04:00,14:04:00,SH0360,3
1_0_11,14:07:00,14:07:00,SH0065,4
1_0_11,14:15:00,14:15:00,SH0425,5
1_0_11,14:23:00,14:23:00,SH0073,6
1_0_11,14:25:00,14:25:00,SH0008,7
1_0_11,14:28:00,14:28:00,SH0077,8
1_0_11,14:31:00,14:31:00,SH0078,9
1_0_11,14:32:00,14:32:00,SH0083,10
1_0_11,14:38:00,14:38:00,SH0079,11
1_0_11,14:41:00,14:41:00,SH0126,12
1_0_11,14:44:00,14:44:00,SH0128,13
1_0_11,14:48:00,14:48:00,SH0132,14
1_0_11,14:49:00,14:49:00,SH0130,15
1_0_12,15:00:00,15:00:00,SH0167,0
1_0_12,15:01:00,15:01:00,SH0465,1
1_0_12,15:02:00,15:02:00,SH0380,2
1_0_12,15:04:00,15:04:00,SH0360,3
1_0_12,15:07:00,15:07:00,SH0065,4
1_0_12,15:15:00,15:15:00,SH0425,5
1_0_12,15:23:00,15:23:00,SH0073,6
1_0_12,15:25:00,15:25:00,SH0008,7
1_0_12,15:28:00,15:28:00,SH0077,8
1_0_12,15:31:00,15:31:00,SH0078,9
1_0_12,15:32:00,15:32:00,SH0083,10
1_0_12,15:38:00,15:38:00,SH0079,11
1_0_12,15:41:00,15:41:00,SH0126,12
1_0_12,15:44:00,15:44:00,SH0128,13
1_0_12,15:48:00,15:48:00,SH0132,14
1_0_12,15:49:00,15:49:00,SH0130,15
1_0_13,15:30:00,15:30:00,SH0167,0
1_0_13,15:31:00,15:31:00,SH0465,1
1_0_13,15:32:00,15:32:00,SH0380,2
1_0_13,15:34:00,15:34:00,SH0360,3
1_0_13,15:37:00,15:37:00,SH0065,4
1_0_13,15:45:00,15:45:00,SH0425,5
1_0_13,15:53:00,15:53:00,SH0073,6
1_0_13,15:55:00,15:55:00,SH0008,7
1_0_13,15:58:00,15:58:00,SH0077,8
1_0_13,16:01:00,16:01:00,SH0078,9
1_0_13,16:02:00,16:02:00,SH0083,10
1_0_13,16:08:00,16:08:00,SH0079,11
1_0_13,16:11:00,16:11:00,SH0126,12
1_0_13,16:14:00,16:14:00,SH0128,13
1_0_13,16:18:00,16:18:00,SH0132,14
1_0_13,16:19:00,16:19:00,SH0130,15
1_0_14,16:00:00,16:00:00,SH0167,0
1_0_14,16:01:00,16:01:00,SH0465,1
1_0_14,16:02:00,16:02:00,SH0380,2
1_0_14,16:04:00,16:04:00,SH0360,3
1_0_14,16:07:00,16:07:00,SH0065,4
1_0_14,16:15:00,16:15:00,SH0425,5
1_0_14,16:23:00,16:23:00,SH0073,6
1_0_14,16:25:00,16:25:00,SH0008,7
1_0_14,16:28:00,16:28:00,SH0077,8
1_0_14,16:31:00,16:31:00,SH0078,9
1_0_14,16:32:00,16:32:00,SH0083,10
1_0_14,16:38:00,16:38:00,SH0079,11
1_0_14,16:41:00,16:41:00,SH0126,12
1_0_14,16:44:00,16:44:00,SH0128,13
1_0_14,16:48:00,16:48:00,SH0132,14
1_0_14,16:49:00,16:49:00,SH0130,15
1_0_15,16:30:00,16:30:00,SH0167,0
1_0_15,16:31:00,16:31:00,SH0465,1
1_0_15,16:32:00,16:32:00,SH0380,2
1_0_15,16:34:00,16:34:00,SH0360,3
1_0_15,16:37:00,16:37:00,SH0065,4
1_0_15,16:45:00,16:45:00,SH0425,5
1_0_15,16:53:00,16:53:00,SH0073,6
1_0_15,16:55:00,16:55:00,SH0008,7
1_0_15,16:58:00,16:58:00,SH0077,8
1_0_15,17:01:00,17:01:00,SH0078,9
1_0_15,17:02:00,17:02:00,SH0083,10
1_0_15,17:08:00,17:08:00,SH0079,11
1_0_15,17:11:00,17:11:00,SH0126,12
1_0_15,17:14:00,17:14:00,SH0128,13
1_0_15,17:18:00,17:18:00,SH0132,14
1_0_15,17:19:00,17:19:00,SH0130,15
1_0_16,17:00:00,17:00:00,SH0167,0
1_0_16,17:01:00,17:01:00,SH0465,1
1_0_16,17:02:00,17:02:00,SH0380,2
1_0_16,17:04:00,17:04:00,SH0360,3
1_0_16,17:07:00,17:07:00,SH0065,4
1_0_16,17:15:00,17:15:00,SH0425,5
1_0_16,17:23:00,17:23:00,SH0073,6
1_0_16,17:25:00,17:25:00,SH0008,7
1_0_16,17:28:00,17:28:00,SH0077,8
1_0_16,17:31:00,17:31:00,SH0078,9
1_0_16,17:32:00,17:32:00,SH0083,10
1_0_16,17:38:00,17:38:00,SH0079,11
1_0_16,17:41:00,17:41:00,SH0126,12
1_0_16,17:44:00,17:44:00,SH0128,13
1_0_16,17:48:00,17:48:00,SH0132,14
1_0_16,17:49:00,17:49:00,SH0130,15
1_0_17,17:30:00,17:30:00,SH0167,0
1_0_17,17:31:00,17:31:00,SH0465,1
1_0_17,17:32:00,17:32:00,SH0380,2
1_0_17,17:34:00,17:34:00,SH0360,3
1_0_17,17:37:00,17:37:00,SH0065,4
1_0_17,17:45:00,17:45:00,SH0425,5
1_0_17,17:53:00,17:53:00,SH0073,6
1_0_17,17:55:00,17:55:00,SH0008,7
1_0_17,17:58:00,17:58:00,SH0077,8
1_0_17,18:01:00,18:01:00,SH0078,9
1_0_17,18:02:00,18:02:00,SH0083,10
1_0_17,18:08:00,18:08:00,SH0079,11
1_0_17,18:11:00,18:11:00,SH0126,12
1_0_17,18:14:00,18:14:00,SH0128,13
1_0_17,18:18:00,18:18:00,SH0132,14
1_0_17,18:19:00,18:19:00,SH0130,15
1_0_18,18:00:00,18:00:00,SH0167,0
1_0_18,18:01:00,18:01:00,SH0465,1
1_0_18,18:02:00,18:02:00,SH0380,2
1_0_18,18:04:00,18:04:00,SH0360,3
1_0_18,18:07:00,18:07:00,SH0065,4
1_0_18,18:15:00,18:15:00,SH0425,5
1_0_18,18:23:00,18:23:00,SH0073,6
1_0_18,18:25:00,18:25:00,SH0008,7
1_0_18,18:28:00,18:28:00,SH0077,8
1_0_18,18:31:00,18:31:00,SH0078,9
1_0_18,18:32:00,18:32:00,SH0083,10
1_0_18,18:38:00,18:38:00,SH0079,11
1_0_18,18:41:00,18:41:00,SH0126,12
1_0_18,18:44:00,18:44:00,SH0128,13
1_0_18,18:48:00,18:48:00,SH0132,14
1_0_18,18:49:00,18:49:00,SH0130,15
1_0_19,19:00:00,19:00:00,SH0167,0
1_0_19,19:01:00,19:01:00,SH0465,1
1_0_19,19:02:00,19:02:00,SH0380,2
1_0_19,19:04:00,19:04:00,SH0360,3
1_0_19,19:07:00,19:07:00,SH0065,4
1_0_19,19:15:00,19:15:00,SH0425,5
1_0_19,19:23:00,19:23:00,SH0073,6
1_0_19,19:25:00,19:25:00,SH0008,7
1_0_19,19:28:00,19:28:00,SH0077,8
1_0_19,19:31:00,19:31:00,SH0078,9
1_0_19,19:32:00,19:32:00,SH0083,10
1_0_19,19:38:00,19:38:00,SH0079,11
1_0_19,19:41:00,19:41:00,SH0126,12
1_0_19,19:44:00,19:44:00,SH0128,13
1_0_19,19:48:00,19:48:00,SH0132,14
1_0_19,19:49:00,19:49:00,SH0130,15
1_1_0,06:00:00,06:00:00,SH0130,0
1_1_0,06:01:00,06:01:00,SH0132,1
1_1_0,06:05:00,06:05:00,SH0128,2
1_1_0,06:08:00,06:08:00,SH0126,3
1_1_0,06:11:00,06:11:00,SH0079,4
1_1_0,06:17:00,06:17:00,SH0083,5
1_1_0,06:18:00,06:18:00,SH0078,6
1_1_0,06:21:00,06:21:00,SH0077,7
1_1_0,06:24:00,06:24:00,SH0008,8
1_1_0,06:26:00,06:26:00,SH0073,9
1_1_0,06:34:00,06:34:00,SH0425,10
1_1_0,06:42:00,06:42:00,SH0065,11
1_1_0,06:45:00,06:45:00,SH0360,12
1_1_0,06:47:00,06:47:00,SH0380,13
1_1_0,06:48:00,06:48:00,SH0465,14
1_1_0,06:49:00,06:49:00,SH0167,15
1_1_1,06:30:00,06:30:00,SH0130,0
1_1_1,06:31:00,06:31:00,SH0132,1
1_1_1,06:35:00,06:35:00,SH0128,2
1_1_1,06:38:00,06:38:00,SH0126,3
1_1_1,06:41:00,06:41:00,SH0079,4
1_1_1,06:47:00,06:47:00,SH0083,5
1_1_1,06:48:00,06:48:00,SH0078,6
1_1_1,06:51:00,06:51:00,SH0077,7
1_1_1,06:54:00,06:54:00,SH0008,8
1_1_1,06:56:00,06:56:00,SH0073,9
1_1_1,07:04:00,07:04:00,SH0425,10
1_1_1,07:12:00,07:12:00,SH0065,11
1_1_1,07:15:00,07:15:00,SH0360,12
1_1_1,07:17:00,07:17:00,SH0380,13
1_1_1,07:18:00,07:18:00,SH0465,14
1_1_1,07:19:00,07:19:00,SH0167,15
1_1_2,07:00:00,07:00:00,SH0130,0
1_1_2,07:01:00,07:01:00,SH0132,1
1_1_2,07:05:00,07:05:00,SH0128,2
1_1_2,07:08:00,07:08:00,SH0126,3
1_1_2,07:11:00,07:11:00,SH0079,4
1_1_2,07:17:00,07:17:00,SH0083,5
1_1_2,07:18:00,07:18:00,SH0078,6
1_1_2,07:21:00,07:21:00,SH0077,7
1_1_2,07:24:00,07:24:00,SH0008,8
1_1_2,07:26:00,07:26:00,SH0073,9
1_1_2,07:34:00,07:34:00,SH0425,10
1_1_2,07:42:00,07:42:00,SH0065,11
1_1_2,07:45:00,07:45:00,SH0360,12
1_1_2,07:47:00,07:47:00,SH0380,13
1_1_2,07:48:00,07:48:00,SH0465,14
1_1_2,07:49:00,07:49:00,SH0167,15
1_1_3,07:30:00,07:30:00,SH0130,0
1_1_3,07:31:00,07:31:00,SH0132,1
1_1_3,07:35:00,07:35:00,SH0128,2
1_1_3,07:38:00,07:38:00,SH0126,3
1_1_3,07:41:00,07:41:00,SH0079,4
1_1_3,07:47:00,07:47:00,SH0083,5
1_1_3,07:48:00,07:48:00,SH0078,6
1_1_3,07:51:00,07:51:00,SH0077,7
1_1_3,07:54:00,07:54:00,SH0008,8
1_1_3,07:56:00,07:56:00,SH0073,9
1_1_3,08:04:00,08:04:00,SH0425,10
1_1_3,08:12:00,08:12:00,SH0065,11
1_1_3,08:15:00,08:15:00,SH0360,12
1_1_3,08:17:00,08:17:00,SH0380,13
1_1_3,08:18:00,08:18:00,SH0465,14
1_1_3,08:19:00,08:19:00,SH0167,15
1_1_4,08:00:00,08:00:00,SH0130,0
1_1_4,08:01:00,08:01:00,SH0132,1
1_1_4,08:05:00,08:05:00,SH0128,2
1_1_4,08:08:00,08:08:00,SH0126,3
1_1_4,08:11:00,08:11:00,SH0079,4
1_1_4,08:17:00,08:17:00,SH0083,5
1_1_4,08:18:00,08:18:00,SH0078,6
1_1_4,08:21:00,08:21:00,SH0077,7
1_1_4,08:24:00,08:24:00,SH0008,8
1_1_4,08:26:00,08:26:00,SH0073,9
1_1_4,08:34:00,08:34:00,SH0425,10
1_1_4,08:42:00,08:42:00,SH0065,11
1_1_4,08:45:00,08:45:00,SH0360,12
1_1_4,08:47:00,08:47:00,SH0380,13
1_1_4,08:48:00,08:48:00,SH0465,14
1_1_4,08:49:00,08:49:00,SH0167,15
1_1_5,08:30:00,08:30:00,SH0130,0
1_1_5,08:31:00,08:31:00,SH0132,1
1_1_5,08:35:00,08:35:00,SH0128,2
1_1_5,08:38:00,08:38:00,SH0126,3
1_1_5,08:41:00,08:41:00,SH0079,4
1_1_5,08:47:00,08:47:00,SH0083,5
1_1_5,08:48:00,08:48:00,SH0078,6
1_1_5,08:51:00,08:51:00,SH0077,7
1_1_5,08:54:00,08:54:00,SH0008,8
1_1_5,08:56:00,08:56:00,SH0073,9
1_1_5,09:04:00,09:04:00,SH0425,10
1_1_5,09:12:00,09:12:00,SH0065,11
1_1_5,09:15:00,09:15:00,SH0360,12
1_1_5,09:17:00,09:17:00,SH0380,13
1_1_5,09:18:00,09:18:00,SH0465,14
1_1_5,09:19:00,09:19:00,SH0167,15
1_1_6,09:00:00,09:00:00,SH0130,0
1_1_6,09:01:00,09:01:00,SH0132,1
1_1_6,09:05:00,09:05:00,SH0128,2
1_1_6,09:08:00,09:08:00,SH0126,3
1_1_6,09:11:00,09:11:00,SH0079,4
1_1_6,09:17:00,09:17:00,SH0083,5
1_1_6,09:18:00,09:18:00,SH0078,6
1_1_6,09:21:00,09:21:00,SH0077,7
1_1_6,09:24:00,09:24:00,SH0008,8
1_1_6,09:26:00,09:26:00,SH0073,9
1_1_6,09:34:00,09:34:00,SH0425,10
1_1_6,09:42:00,09:42:00,SH0065,11
1_1_6,09:45:00,09:45:00,SH0360,12
1_1_6,09:47:00,09:47:00,SH0380,13
1_1_6,09:48:00,09:48:00,SH0465,14
1_1_6,09:49:00,09:49:00,SH0167,15
1_1_7,10:00:00,10:00:00,SH0130,0
1_1_7,10:01:00,10:01:00,SH0132,1
1_1_7,10:05:00,10:05:00,SH0128,2
1_1_7,10:08:00,10:08:00,SH0126,3
1_1_7,10:11:00,10:11:00,SH0079,4
1_1_7,10:17:00,10:17:00,SH0083,5
1_1_7,10:18:00,10:18:00,SH0078,6
1_1_7,10:21:00,10:21:00,SH0077,7
1_1_7,10:24:00,10:24:00,SH0008,8
1_1_7,10:26:00,10:26:00,SH0073,9
1_1_7,10:34:00,10:34:00,SH0425,10
1_1_7,10:42:00,10:42:00,SH0065,11
1_1_7,10:45:00,10:45:00,SH0360,12
1_1_7,10:47:00,10:47:00,SH0380,13
1_1_7,10:48:00,10:48:00,SH0465,14
1_1_7,10:49:00,10:49:00,SH0167,15
1_1_8,11:00:00,11:00:00,SH0130,0
1_1_8,11:01:00,11:01:00,SH0132,1
1_1_8,11:05:00,11:05:00,SH0128,2
1_1_8,11:08:00,11:08:00,SH0126,3
1_1_8,11:11:00,11:11:00,SH0079,4
1_1_8,11:17:00,11:17:00,SH0083,5
1_1_8,11:18:00,11:18:00,SH0078,6
1_1_8,11:21:00,11:21:00,SH0077,7
1_1_8,11:24:00,11:24:00,SH0008,8
1_1_8,11:26:00,11:26:00,SH0073,9
1_1_8,11:34:00,11:34:00,SH0425,10
1_1_8,11:42:00,11:42:00,SH0065,11
1_1_8,11:45:00,11:45:00,SH0360,12
1_1_8,11:47:00,11:47:00,SH0380,13
1_1_8,11:48:00,11:48:00,SH0465,14
1_1_8,11:49:00,11:49:00,SH0167,15
1_1_9,12:00:00,12:00:00,SH0130,0
1_1_9,12:01:00,12:01:00,SH0132,1
1_1_9,12:05:00,12:05:00,SH0128,2
1_1_9,12:08:00,12:08:00,SH0126,3
1_1_9,12:11:00,12:11:00,SH0079,4
1_1_9,12:17:00,12:17:00,SH0083,5
1_1_9,12:18:00,12:18:00,SH0078,6
1_1_9,12:21:00,12:21:00,SH0077,7
1_1_9,12:24:00,12:24:00,SH0008,8
1_1_9,12:26:00,12:26:00,SH0073,9
1_1_9,12:34:00,12:34:00,SH0425,10
1_1_9,12:42:00,12:42:00,SH0065,11
1_1_9,12:45:00,12:45:00,SH0360,12
1_1_9,12:47:00,12:47:00,SH0380,13
1_1_9,12:48:00,12:48:00,SH0465,14
1_1_9,12:49:00,12:49:00,SH0167,15
1_1_10,13:00:00,13:00:00,SH0130,0
1_1_10,13:01:00,13:01:00,SH0132,1
1_1_10,13:05:00,13:05:00,SH0128,2
1_1_10,13:08:00,13:08:00,SH0126,3
1_1_10,13:11:00,13:11:00,SH0079,4
1_1_10,13:17:00,13:17:00,SH0083,5
1_1_10,13:18:00,13:18:00,SH0078,6
1_1_10,13:21:00,13:21:00,SH0077,7
1_1_10,13:24:00,13:24:00,SH0008,8
1_1_10,13:26:00,13:26:00,SH0073,9
1_1_10,13:34:00,13:34:00,SH0425,10
1_1_10,13:42:00,13:42:00,SH0065,11
1_1_10,13:45:00,13:45:00,SH0360,12
1_1_10,13:47:00,13:47:00,SH0380,13
1_1_10,13:48:00,13:48:00,SH0465,14
1_1_10,13:49:00,13:49:00,SH0167,15
1_1_11,14:00:00,14:00:00,SH0130,0
1_1_11,14:01:00,14:01:00,SH0132,1
1_1_11,14:05:00,14:05:00,SH0128,2
1_1_11,14:08:00,14:08:00,SH0126,3
1_1_11,14:11:00,14:11:00,SH0079,4
1_1_11,14:17:00,14:17:00,SH0083,5
1_1_11,14:18:00,14:18:00,SH0078,6
1_1_11,14:21:00,14:21:00,SH0077,7
1_1_11,14:24:00,14:24:00,SH0008,8
1_1_11,14:26:00,14:26:00,SH0073,9
1_1_11,14:34:00,14:34:00,SH0425,10
1_1_11,14:42:00,14:42:00,SH0065,11
1_1_11,14:45:00,14:45:00,SH0360,12
1_1_11,14:47:00,14:47:00,SH0380,13
1_1_11,14:48:00,14:48:00,SH0465,14
1_1_11,14:49:00,14:49:00,SH0167,15
1_1_12,15:00:00,15:00:00,SH0130,0
1_1_12,15:01:00,15:01:00,SH0132,1
1_1_12,15:05:00,15:05:00,SH0128,2
1_1_12,15:08:00,15:08:00,SH0126,3
1_1_12,15:11:00,15:11:00,SH0079,4
1_1_12,15:17:00,15:17:00,SH0083,5
1_1_12,15:18:00,15:18:00,SH0078,6
1_1_12,15:21:00,15:21:00,SH0077,7
1_1_12,15:24:00,15:24:00,SH0008,8
1_1_12,15:26:00,15:26:00,SH0073,9
1_1_12,15:34:00,15:34:00,SH0425,10
1_1_12,15:42:00,15:42:00,SH0065,11
1_1_12,15:45:00,15:45:00,SH0360,12
1_1_12,15:47:00,15:47:00,SH0380,13
1_1_12,15:48:00,15:48:00,SH0465,14
1_1_12,15:49:00,15:49:00,SH0167,15
1_1_13,15:30:00,15:30:00,SH0130,0
1_1_13,15:31:00,15:31:00,SH0132,1
1_1_13,15:35:00,15:35:00,SH0128,2
1_1_13,15:38:00,15:38:00,SH0126,3
1_1_13,15:41:00,15:41:00,SH0079,4
1_1_13,15:47:00,15:47:00,SH0083,5
1_1_13,15:48:00,15:48:00,SH0078,6
1_1_13,15:51:00,15:51:00,SH0077,7
1_1_13,15:54:00,15:54:00,SH0008,8
1_1_13,15:56:00,15:56:00,SH0073,9
1_1_13,16:04:00,16:04:00,SH0425,10
1_1_13,16:12:00,16:12:00,SH0065,11
1_1_13,16:15:00,16:15:00,SH0360,12
1_1_13,16:17:00,16:17:00,SH0380,13
1_1_13,16:18:00,16:18:00,SH0465,14
1_1_13,16:19:00,16:19:00,SH0167,15
1_1_14,16:00:00,16:00:00,SH0130,0
1_1_14,16:01:00,16:01:00,SH0132,1
1_1_14,16:05:00,16:05:00,SH0128,2
1_1_14,16:08:00,16:08:00,SH0126,3
1_1_14,16:11:00,16:11:00,SH0079,4
1_1_14,16:17:00,16:17:00,SH0083,5
1_1_14,16:18:00,16:18:00,SH0078,6
1_1_14,16:21:00,16:21:00,SH0077,7
1_1_14,16:24:00,16:24:00,SH0008,8
1_1_14,16:26:00,16:26:00,SH0073,9
1_1_14,16:34:00,16:34:00,SH0425,10
1_1_14,16:42:00,16:42:00,SH0065,11
1_1_14,16:45:00,16:45:00,SH0360,12
